Дата_и_время,Цена
2024-05-26 14:00:00,2118.2
2024-05-26 15:00:00,2086.2
2024-05-26 16:00:00,2057.43
2024-05-26 17:00:00,2055.14
2024-05-26 18:00:00,1999.92
2024-05-26 19:00:00,2021.3
2024-05-26 20:00:00,2053.44
2024-05-26 21:00:00,2042.51
2024-05-26 22:00:00,1955.62
2024-05-26 23:00:00,1509.01
2024-05-27 00:00:00,1213.24
2024-05-27 01:00:00,1123.87
2024-05-27 02:00:00,944.41
2024-05-27 03:00:00,882.35
2024-05-27 04:00:00,819.76
2024-05-27 05:00:00,1008.33
2024-05-27 06:00:00,1169.67
2024-05-27 07:00:00,1455.6
2024-05-27 08:00:00,1816.16
2024-05-27 09:00:00,2015.07
2024-05-27 10:00:00,2019.89
2024-05-27 11:00:00,1981.01
2024-05-27 12:00:00,1931.87
2024-05-27 13:00:00,2021.12
2024-05-27 14:00:00,2040.39
2024-05-27 15:00:00,2008.77
2024-05-27 16:00:00,1970.15
2024-05-27 17:00:00,1906.91
2024-05-27 18:00:00,1854.59
2024-05-27 19:00:00,1795.6
2024-05-27 20:00:00,1806.53
2024-05-27 21:00:00,1755.98
2024-05-27 22:00:00,1447.43
2024-05-27 23:00:00,1280.35
2024-05-28 00:00:00,995.65
2024-05-28 01:00:00,913.45
2024-05-28 02:00:00,805.6
2024-05-28 03:00:00,167.19
2024-05-28 04:00:00,162.84
2024-05-28 05:00:00,833.56
2024-05-28 06:00:00,1230.69
2024-05-28 07:00:00,1518.39
2024-05-28 08:00:00,1695.87
2024-05-28 09:00:00,1989.8
2024-05-28 10:00:00,1986.18
2024-05-28 11:00:00,1981.69
2024-05-28 12:00:00,1921.03
2024-05-28 13:00:00,2020.1
2024-05-28 14:00:00,2055.51
2024-05-28 15:00:00,2055.74
2024-05-28 16:00:00,2004.98
2024-05-28 17:00:00,1966.96
2024-05-28 18:00:00,1898.15
2024-05-28 19:00:00,1792.29
2024-05-28 20:00:00,1807.25
2024-05-28 21:00:00,1782.84
2024-05-28 22:00:00,1486.46
2024-05-28 23:00:00,1290.6
2024-05-29 00:00:00,1151.93
2024-05-29 01:00:00,1008.39
2024-05-29 02:00:00,804.93
2024-05-29 03:00:00,697.57
2024-05-29 04:00:00,684.12
2024-05-29 05:00:00,977.99
2024-05-29 06:00:00,1115.45
2024-05-29 07:00:00,1377.97
2024-05-29 08:00:00,1676.12
2024-05-29 09:00:00,1980.85
2024-05-29 10:00:00,1924.53
2024-05-29 11:00:00,1864.42
2024-05-29 12:00:00,1855.31
2024-05-29 13:00:00,1877.4
2024-05-29 14:00:00,1887.99
2024-05-29 15:00:00,1869.1
2024-05-29 16:00:00,1888.33
2024-05-29 17:00:00,1872.18
2024-05-29 18:00:00,1898.51
2024-05-29 19:00:00,1796.78
2024-05-29 20:00:00,1758.76
2024-05-29 21:00:00,1722.05
2024-05-29 22:00:00,1458.33
2024-05-29 23:00:00,1293.89
2024-05-30 00:00:00,1114.39
2024-05-30 01:00:00,978.42
2024-05-30 02:00:00,834.72
2024-05-30 03:00:00,737.52
2024-05-30 04:00:00,743.94
2024-05-30 05:00:00,1022.32
2024-05-30 06:00:00,1112.39
2024-05-30 07:00:00,1424.66
2024-05-30 08:00:00,1828.28
2024-05-30 09:00:00,1956.93
2024-05-30 10:00:00,1888.18
2024-05-30 11:00:00,1854.23
2024-05-30 12:00:00,1837.3
2024-05-30 13:00:00,1881.64
2024-05-30 14:00:00,1877.69
2024-05-30 15:00:00,1881.43
2024-05-30 16:00:00,1870.5
2024-05-30 17:00:00,1861.67
2024-05-30 18:00:00,1912.17
2024-05-30 19:00:00,1846.61
2024-05-30 20:00:00,1814.45
2024-05-30 21:00:00,1793.07
2024-05-30 22:00:00,1438.74
2024-05-30 23:00:00,1252.33
2024-05-31 00:00:00,1094.61
2024-05-31 01:00:00,885.57
2024-05-31 02:00:00,825.44
2024-05-31 03:00:00,736.5
2024-05-31 04:00:00,690.45
2024-05-31 05:00:00,1004.23
2024-05-31 06:00:00,1146.91
2024-05-31 07:00:00,1477.03
2024-05-31 08:00:00,1872.89
2024-05-31 09:00:00,2064.27
2024-05-31 10:00:00,2140.33
2024-05-31 11:00:00,2126.66
2024-05-31 12:00:00,2088.05
2024-05-31 13:00:00,2154.45
2024-05-31 14:00:00,2162.5
2024-05-31 15:00:00,2161.44
2024-05-31 16:00:00,2141.98
2024-05-31 17:00:00,2043.61
2024-05-31 18:00:00,2019.59
2024-05-31 19:00:00,1953.05
2024-05-31 20:00:00,1939.65
2024-05-31 21:00:00,1931.98
2024-05-31 22:00:00,1697.12
2024-05-31 23:00:00,1371.31
