Дата_и_Время,Цена_ЭЭ,sin_час,cos_час,День,Цена_EUR,Цена_USD,Цена_газ,Цена_нефть
2024-05-11 22:00:00,1691.08,-0.5000000000000004,0.8660254037844384,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 23:00:00,1391.41,-0.2588190451025215,0.965925826289068,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-12 00:00:00,1372.38,0.0,1.0,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 01:00:00,1234.75,0.2588190451025207,0.9659258262890684,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 02:00:00,1145.3,0.4999999999999999,0.8660254037844387,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 03:00:00,1107.91,0.7071067811865476,0.7071067811865476,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 04:00:00,1092.07,0.8660254037844386,0.5000000000000001,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 05:00:00,1099.26,0.9659258262890684,0.2588190451025207,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 06:00:00,1046.59,1.0,6.123233995736766e-17,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 07:00:00,1145.53,0.9659258262890684,-0.2588190451025206,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 08:00:00,1365.88,0.8660254037844387,-0.4999999999999998,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 09:00:00,1518.67,0.7071067811865476,-0.7071067811865475,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 10:00:00,1591.05,0.4999999999999999,-0.8660254037844387,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 11:00:00,1612.16,0.258819045102521,-0.9659258262890682,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 12:00:00,1612.66,1.2246467991473532e-16,-1.0,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 13:00:00,1612.48,-0.2588190451025208,-0.9659258262890684,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 14:00:00,1615.97,-0.4999999999999997,-0.8660254037844388,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 15:00:00,1616.03,-0.7071067811865471,-0.7071067811865479,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 16:00:00,1627.91,-0.8660254037844385,-0.5000000000000004,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 17:00:00,1625.06,-0.9659258262890684,-0.2588190451025206,12,98.027609375,90.6461961722488,2.231333333333333,82.555
2024-05-12 18:00:00,1636.72,-1.0,-1.8369701987210287e-16,12,98.027609375,90.6461961722488,2.226,82.555
2024-05-12 19:00:00,1677.13,-0.9659258262890684,0.2588190451025203,12,98.027609375,90.6461961722488,2.229,82.555
2024-05-12 20:00:00,1703.39,-0.8660254037844386,0.5000000000000001,12,98.027609375,90.6461961722488,2.234,82.555
2024-05-12 21:00:00,1676.14,-0.7071067811865477,0.7071067811865474,12,98.027609375,90.6461961722488,2.229,82.555
2024-05-12 22:00:00,1481.91,-0.5000000000000004,0.8660254037844384,12,98.027609375,90.6461961722488,2.233,82.53
2024-05-12 23:00:00,1284.89,-0.2588190451025215,0.965925826289068,12,98.027609375,90.6461961722488,2.237,82.58
2024-05-13 00:00:00,1290.9,0.0,1.0,13,98.9546875,91.68,2.238,82.54
2024-05-13 01:00:00,1166.37,0.2588190451025207,0.9659258262890684,13,98.9546875,91.68,2.244,82.27
2024-05-13 02:00:00,1118.89,0.4999999999999999,0.8660254037844387,13,98.9546875,91.68,2.265,82.58
2024-05-13 03:00:00,1112.83,0.7071067811865476,0.7071067811865476,13,98.9546875,91.68,2.281,82.55
2024-05-13 04:00:00,1102.68,0.8660254037844386,0.5000000000000001,13,98.9546875,91.68,2.293,82.53
2024-05-13 05:00:00,1160.72,0.9659258262890684,0.2588190451025207,13,98.9546875,91.68,2.28,82.53
2024-05-13 06:00:00,1352.15,1.0,6.123233995736766e-17,13,98.9546875,91.68,2.264,82.75
2024-05-13 07:00:00,1609.67,0.9659258262890684,-0.2588190451025206,13,99.4375,92.2425,2.254,83.01
2024-05-13 08:00:00,2102.154,0.8660254037844387,-0.4999999999999998,13,99.445,92.2,2.271,83.11
2024-05-13 09:00:00,2102.154,0.7071067811865476,-0.7071067811865475,13,99.1775,92.0175,2.299,82.89
2024-05-13 10:00:00,2102.154,0.4999999999999999,-0.8660254037844387,13,98.9025,91.8,2.305,83.14
2024-05-13 11:00:00,2102.154,0.258819045102521,-0.9659258262890682,13,98.905,91.6925,2.327,83.27
2024-05-13 12:00:00,2102.154,1.2246467991473532e-16,-1.0,13,98.4775,91.33,2.345,83.21
2024-05-13 13:00:00,2008.52,-0.2588190451025208,-0.9659258262890684,13,98.5675,91.44,2.358,83.57
2024-05-13 14:00:00,1979.76,-0.4999999999999997,-0.8660254037844388,13,98.725,91.525,2.368,83.36
